#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 933 VFMADD213SD               560956                0
 937 VFMADD231SD               478458                0
 953 VFMSUB132SD                 2420                0
 961 VFMSUB231SD                23458                0
 977 VFNMADD132SD             1348957                0
 981 VFNMADD213SD               58271                0
 985 VFNMADD231SD              391531                0
1072 VMOVAPD                  2975897                0
1073 VMOVAPS                   171987                0
1074 VMOVD                      43433                0
1076 VMOVDQA                   134702                0
1079 VMOVDQU                   388012                0
1096 VMOVQ                    1785044                0
1097 VMOVSD                   5304089                0
1102 VMOVUPS                      117                0
1112 VMULSD                   1655168                0
1117 VORPD                     468412                0
1137 VPALIGNR                    4956                0
1138 VPAND                      69174                0
1140 VPANDN                     69174                0
1153 VPBROADCASTB               43578                0
1163 VPCMPEQB                  289715                0
1169 VPCMPGTB                  138348                0
1173 VPCMPISTRI                  5280                0
1294 VPMINUB                    16101                0
1306 VPMOVMSKB                 247037                0
1350 VPOR                       82548                0
1400 VPSLLDQ                     8795                0
1413 VPSRLDQ                       26                0
1419 VPSUBB                     29333                0
1446 VPXOR                     164868                0
1511 VSTMXCSR                  360981                0
1514 VSUBSD                   1734525                0
1518 VUCOMISD                  863465                0
1524 VXORPD                    683787                0
